Annotation/Divergence,DD6_old_rep1,DD7_old_rep2,DD8_old_rep3,DD9_old_rep4,DD10_old_rep5,DD11_old_rep6,DD18_old121_rep1,DD19_old121_rep2,DD20_old121_rep3,DD21_old121_rep4,DD22_old121_rep5,DD23_old121_rep6
Nlrp6,0.17300000000000001,0.08800000000000001,0.081,0.128,0.141,0.187,0.063,0.11,0.086,0.115,0.09,0.066
Pdpr,4.7010000000000005,3.853,4.131,1.9680000000000002,4.102,3.625,5.557,5.861000000000001,4.777,3.594,5.064,5.374
Pcdhb9,2.234,2.406,2.7319999999999998,3.069,2.476,2.852,3.195,2.986,2.968,3.582,2.9539999999999997,3.577
Thbd,1.505,2.379,1.395,1.421,1.585,1.3219999999999998,3.605,1.6480000000000001,2.827,3.1719999999999997,1.966,3.975
Gpr3,1.9340000000000002,2.947,2.088,2.415,1.8030000000000002,1.819,1.074,1.626,1.65,2.013,2.0269999999999997,1.413
Ptprg,12.448,9.134,12.777999999999999,11.488,11.915999999999999,12.448,13.95,13.297,14.637,15.218,14.020999999999999,15.061
Zfp759,1.565,1.421,2.1590000000000003,1.8130000000000002,2.129,1.875,2.37,2.041,2.178,2.233,2.265,2.23
Tagln3,85.274,105.861,101.211,146.945,103.206,101.244,76.23100000000001,86.93299999999999,77.65899999999999,97.723,85.208,84.12899999999999
Yod1,2.565,2.379,2.7110000000000003,1.619,2.931,2.4419999999999997,3.2689999999999997,3.475,3.215,3.082,3.5069999999999997,3.736
Ndufb6,43.521,35.225,39.313,55.376000000000005,35.758,41.998000000000005,29.519000000000002,35.685,29.499000000000002,38.863,30.055,33.216
Rpl14-ps1,106.11399999999999,125.171,110.961,171.446,118.90799999999999,124.757,98.001,81.403,92.471,116.889,96.15700000000001,100.226
Yae1d1,1.8530000000000002,1.913,2.0140000000000002,2.101,2.096,2.1830000000000003,2.27,2.676,2.504,2.146,2.5610000000000004,2.372
Spag4,0.978,0.7859999999999999,0.841,0.8390000000000001,0.841,0.556,0.7909999999999999,0.42100000000000004,0.4,0.609,0.613,0.491
Serping1,1.608,1.867,3.093,3.042,4.204,2.23,7.8020000000000005,2.998,6.602,7.104,3.972,6.651
Sdk1,0.841,0.752,0.76,0.677,0.7879999999999999,0.758,1.0190000000000001,1.1420000000000001,0.9840000000000001,0.9229999999999999,1.0979999999999999,0.99
Klhl28,2.878,2.6010000000000004,2.761,1.176,2.5989999999999998,2.5610000000000004,3.64,3.468,3.688,3.282,4.567,3.799
Nabp2,41.422,39.684,41.917,57.692,43.825,45.922,34.76,36.146,34.777,41.33,38.946,38.741
Dbi,100.59700000000001,87.679,109.79700000000001,152.029,108.637,96.08,79.954,99.609,87.096,88.43,77.87,88.59100000000001
Vgll3,0.138,0.195,1.254,0.6659999999999999,1.787,0.512,1.348,0.8370000000000001,2.289,1.7719999999999998,2.385,3.0639999999999996
Mir7115,6.079,9.282,11.345,9.011000000000001,7.446000000000001,3.0869999999999997,13.342,8.833,10.125,13.487,12.677999999999999,13.152999999999999
Chrna3,0.14800000000000002,0.209,0.191,0.146,0.16699999999999998,0.203,0.27,0.29,0.382,0.273,0.275,0.188
Wdr90,3.2289999999999996,3.958,2.8169999999999997,2.798,2.708,2.792,2.4930000000000003,2.759,1.9969999999999999,2.36,2.727,2.7260000000000004
Wnt7a,4.35,3.628,4.397,5.211,4.226,3.7119999999999997,2.987,3.05,2.897,3.574,3.528,3.613
Erich5,2.843,0.877,3.266,1.173,2.682,2.215,4.0889999999999995,3.168,3.497,2.126,3.898,3.865
Hmbs,4.077,4.995,3.7960000000000003,6.564,4.418,4.984,3.718,3.3819999999999997,3.9389999999999996,4.131,3.074,4.355
9430015G10Rik,7.666,7.621,6.0329999999999995,7.3629999999999995,6.9270000000000005,6.482,4.957,6.906000000000001,5.754,5.896,5.71,5.912000000000001
Sac3d1,5.867000000000001,4.882,5.3,6.169,4.638,5.249,4.128,4.11,3.815,4.71,4.619,4.763999999999999
Cystm1,13.373,17.511,14.436,16.164,14.399000000000001,15.329,12.062000000000001,10.729000000000001,12.18,12.481,11.507,9.748
Atp1a4,0.044000000000000004,0.019,0.069,0.033,0.105,0.098,0.09699999999999999,0.161,0.111,0.033,0.214,0.16899999999999998
Angpt2,0.237,0.293,0.218,0.16,0.499,0.315,0.853,0.235,0.623,0.575,0.514,0.536
Insc,1.296,1.6909999999999998,1.3430000000000002,1.2309999999999999,1.3559999999999999,1.5390000000000001,0.9229999999999999,1.056,0.7929999999999999,0.7859999999999999,1.287,1.12
Dync2h1,1.5230000000000001,1.62,1.485,1.35,1.5659999999999998,1.716,2.1719999999999997,1.969,1.9480000000000002,1.632,1.936,1.921
Itga1,0.682,0.95,0.7909999999999999,0.33399999999999996,0.718,0.425,1.45,0.818,1.222,0.723,1.122,1.057
Crispld2,0.46,0.546,0.6579999999999999,0.518,0.5379999999999999,0.677,1.412,0.902,1.082,1.496,0.9179999999999999,1.673
Gm29443,0.569,0.965,0.295,0.562,0.516,0.48100000000000004,0.27699999999999997,0.344,0.316,0.28,0.282,0.483
Epop,10.501,10.918,8.012,10.709000000000001,8.107999999999999,10.135,5.803,7.324,5.245,9.762,7.306,7.499
Trim45,1.402,1.696,1.465,1.635,1.423,1.619,1.261,1.3769999999999998,1.021,1.53,1.078,1.492
Ssh2,5.723,4.4719999999999995,5.229,3.7310000000000003,5.026,4.5969999999999995,6.348,6.523,6.471,4.885,6.33,6.143
Ndc1,3.207,3.076,3.705,2.71,4.18,3.9760000000000004,3.88,4.354,4.292,4.809,3.995,4.195
Cnn1,0.11599999999999999,0.16399999999999998,0.12,0.172,0.395,0.27,0.5670000000000001,0.21100000000000002,1.204,0.8590000000000001,0.75,1.207
Cdk5r2,74.70100000000001,89.82700000000001,71.16199999999999,80.6,68.94800000000001,70.283,53.732,60.133,47.623999999999995,65.14,57.285,57.674
Snrpd3,40.734,39.442,45.22,54.393,45.235,44.641000000000005,33.546,35.71,33.137,41.773999999999994,38.353,40.591
Abhd17a,45.928999999999995,50.04,42.538999999999994,55.992,43.375,45.375,34.477,43.32,32.284,43.818000000000005,40.046,40.263000000000005
Slc16a12,0.436,0.5720000000000001,0.46299999999999997,0.353,0.9179999999999999,0.655,1.306,0.613,1.2,0.998,1.433,1.3
Tpgs1,24.16,20.375999999999998,24.596,31.41,22.663,25.798000000000002,16.652,21.495,15.854000000000001,23.288,21.115,21.105
Usp53,4.217,3.6260000000000003,4.218,2.301,3.9,3.492,4.501,4.526,5.055,4.239,4.283,4.867
Tmem141,9.746,8.597000000000001,7.275,10.111,8.62,8.722999999999999,5.917000000000001,7.699,7.466,8.144,7.331,6.2010000000000005
Fuom,4.895,5.337999999999999,5.314,6.547999999999999,5.622999999999999,4.7010000000000005,4.092,4.329,4.588,4.442,5.113,4.428999999999999
Larp4,3.595,3.2889999999999997,4.042,3.572,4.194,4.265,4.837,4.6339999999999995,4.861000000000001,4.846,4.565,5.122000000000001
Evi2a,14.139000000000001,18.012,13.491,14.355,15.540999999999999,13.513,12.2,12.886,13.456,10.302999999999999,10.994000000000002,12.687999999999999
Drap1,97.647,72.78699999999999,91.51,124.02600000000001,92.02799999999999,92.536,72.732,79.325,67.565,84.912,79.7,81.925
Higd1b,1.261,1.8719999999999999,1.307,2.18,1.287,1.334,1.307,0.763,0.758,0.777,0.9390000000000001,1.203
Elk4,3.24,2.5180000000000002,2.764,1.4409999999999998,2.0340000000000003,1.7919999999999998,3.3339999999999996,3.4739999999999998,3.1919999999999997,2.443,3.457,2.687
Chd9,5.982,6.544,5.577999999999999,3.7260000000000004,5.24,5.095,6.8660000000000005,6.502000000000001,7.059,5.83,6.92,6.61
Sntb2,2.5340000000000003,1.9580000000000002,2.105,0.887,2.633,1.785,4.024,3.278,3.449,2.246,3.968,3.556
B4galnt1,42.163000000000004,37.251999999999995,41.256,51.266999999999996,41.173,43.016000000000005,32.545,35.132,30.839000000000002,39.834,36.653,35.971
Bcl11a,46.387,27.482,41.69,48.288000000000004,37.755,46.446999999999996,29.939,32.961,32.477,37.955999999999996,32.574,34.811
Erv3,0.091,0.11599999999999999,0.124,0.084,0.124,0.043,0.05,0.040999999999999995,0.063,0.10099999999999999,0.034,0.07200000000000001
Creld2,10.368,11.294,8.238,10.959000000000001,10.91,7.121,7.252999999999999,5.659,7.5489999999999995,7.792999999999999,6.962999999999999,7.571000000000001
Clec2l,19.930999999999997,15.444,18.137,26.108,19.976,22.808000000000003,15.368,14.43,13.247,19.918,15.687000000000001,16.042
Akt2,4.6819999999999995,7.289,4.422,4.813,4.821000000000001,4.498,4.042,3.7960000000000003,4.1530000000000005,4.112,4.235,4.109
Slc12a7,0.78,0.917,0.665,0.879,1.47,0.8290000000000001,1.581,1.022,1.45,1.21,1.464,1.5090000000000001
Zc3hav1l,1.431,1.1740000000000002,1.578,1.13,1.285,1.102,1.784,1.9169999999999998,1.732,1.639,1.834,2.037
Zfas1,20.901,21.275,23.728,33.533,19.554000000000002,27.198,16.742,20.877,16.011,18.855999999999998,13.232000000000001,18.885
Zfp113,1.162,1.176,1.3359999999999999,1.493,1.137,1.159,1.405,1.518,1.507,1.4809999999999999,1.518,1.5230000000000001
Cd44,0.557,0.635,1.084,0.917,1.422,1.183,1.249,1.186,1.354,1.546,1.272,1.33
Tex40,3.167,3.19,3.0010000000000003,2.127,3.03,3.832,2.0269999999999997,2.516,2.307,3.074,2.285,2.33
