Annotation/Divergence,pvalue,FoldChange,log(pvalue),log2FC,sig,size
D2hgdh,0.055212866911212105,1.1988613257421716,1.257959701666352,-0.26166478949898736,normal,0.11988613257421717
Shc2,0.6134801523508839,0.9741022345969873,0.21219948324492055,0.03785489998641597,normal,0.09741022345969873
Mcl1,0.21564851853141417,1.0509920573441163,0.6662535210368885,-0.07175176647082998,normal,0.10509920573441163
E530011L22Rik,0.5780039187545123,1.0511400957117387,0.23806921713709836,-0.0719549641802345,normal,0.10511400957117387
Zfp317,0.24529829709507361,1.0474236860224924,0.6103054667336054,-0.06684513480042914,normal,0.10474236860224924
Cib1,0.1961611040183856,0.9074354548976787,0.7073871028930028,0.14013306578524132,normal,0.09074354548976787
Sypl2,0.6271421595564813,0.9475294117647057,0.20263400284880403,0.07775736896667261,normal,0.09475294117647057
Hint1,0.10765438559941559,0.8532092316753722,0.9679682732921422,0.22902851924611928,normal,0.08532092316753723
Mipol1,0.21561356839034476,1.117196819085487,0.6663239128190632,-0.15988337105405367,normal,0.11171968190854871
Btbd9,0.2546426265502153,1.1077443906889637,0.5940688947672685,-0.1476250214339202,normal,0.11077443906889636
Dlx2,0.5295937391839362,0.9203781512605043,0.2760571577336526,0.11970135887235514,normal,0.09203781512605043
Sdccag3,0.1982628880363271,0.9419937394654466,0.702758571873496,0.08621062323631776,normal,0.09419937394654467
Bag6,0.2820413641037903,0.9476271064381392,0.5496871935081272,0.07760862808996422,normal,0.09476271064381392
Tnfrsf23,0.05349431699486285,0.6999255398361877,1.2716923530977822,0.5147266428624425,normal,0.06999255398361877
Aplp1,0.07022196895271135,0.9186022507743284,1.1535269975236238,0.12248777640908053,normal,0.09186022507743284
Rab39,0.7014087731033927,1.0633245382585752,0.15402880633794314,-0.08858199035687568,normal,0.10633245382585751
Ryr3,0.32778236187166865,1.0655116691832898,0.48441441973409716,-0.09154639319633347,normal,0.10655116691832897
Zfp930,0.005407447116898684,1.1415823605706872,2.2670077191290727,-0.19103494795556858,normal,0.11415823605706872
10-Mar,0.21498150573028227,0.7105606258148631,0.6675988996414135,0.4929703478386447,normal,0.0710560625814863
Hacd4,0.010813178784876053,1.5822316234796405,1.966046616334228,-0.6619608119378753,down,0.15822316234796405
Cyp1b1,0.0010517226971720097,2.0879771829749885,2.9780987534934673,-1.062105946491757,down,0.20879771829749885
Aldoa,0.6223912091421853,0.9563189694590061,0.20593655009292097,0.06443620167615371,normal,0.0956318969459006
Cars,0.010160386439278083,0.8667610089070172,1.9930897738183952,0.2062938393811509,normal,0.08667610089070173
Cep57l1,0.8550601042521111,1.0228940738306498,0.0680033565845881,-0.03265675400643738,normal,0.10228940738306498
Aldh3b2,0.20786852645788384,0.7248554913294799,0.6822112625704824,0.4642346897220478,normal,0.072485549132948
Pald1,0.11754575041966296,1.0943439962911452,0.9297930671145536,-0.13006630644353934,normal,0.10943439962911453
Mrgbp,0.995602883188148,0.9996416669652775,0.0019138543787417801,0.000517057937184412,normal,0.09996416669652775
Snx33,0.9828958762277332,0.9986366188146604,0.007492487025313358,0.0019682853416286513,normal,0.09986366188146603
Cdk5,0.04430281591985712,0.8924064760954346,1.3535686688200643,0.16422711178842517,normal,0.08924064760954345
Ly6e,0.5202386625316495,1.073881538352327,0.2837973755153642,-0.1028348560257093,normal,0.1073881538352327
Gnai2,0.2249741934696889,0.9372191265692459,0.647867296450833,0.09354169817133944,normal,0.09372191265692459
Vstm5,0.629905413652168,0.9456333140543667,0.20072465913836315,0.08064723325683688,normal,0.09456333140543667
St14,0.7208903234677788,0.9163636363636363,0.14213080398504116,0.12600788491210563,normal,0.09163636363636363
Diras1,0.03726441660994528,0.8946209846066762,1.4287056734425807,0.16065149568533876,normal,0.08946209846066762
Cyp4f17,0.1349250965348446,1.1594882729211091,0.8699072625380102,-0.2134882286220216,normal,0.11594882729211091
2610020C07Rik,0.9950527164684103,0.9986586183769282,0.0021539103448603154,0.0019365037013425917,normal,0.09986586183769282
Iqcj,0.07979353295553769,1.355471035693388,1.0980323055858097,-0.438794285357132,normal,0.1355471035693388
Rlbp1,0.05380116630894635,0.8822501092589126,1.2692083095371547,0.18074039121726618,normal,0.08822501092589126
Asphd1,0.0050389268942572455,0.7693076414204683,2.2976619424283125,0.378367456392265,up,0.07693076414204683
Ptprn,0.0027679731049590414,0.8843076470660312,2.557838134021864,0.1773797301549054,normal,0.08843076470660312
Parp10,0.06311409202017794,1.1716830466830466,1.1998736613056376,-0.22858235745564565,normal,0.11716830466830466
Dhdds,0.41526549209167785,0.9541352683970601,0.38167415657813114,0.0677342823131515,normal,0.09541352683970601
Nhlh2,0.23771160565723992,1.2243982048143613,0.6239496144440664,-0.2920728347314485,normal,0.12243982048143613
Gm14295,0.1541218851476707,1.1193612414290872,0.8121356875371583,-0.1626756995085996,normal,0.11193612414290872
Gm12060,0.8686889549170804,0.9679846938775509,0.06113570035769247,0.04694385962048467,normal,0.09679846938775509
Prkar1b,0.01779286281760045,0.8691939053287159,1.7497541696305698,0.2022500363171589,normal,0.0869193905328716
Plch2,0.4116929435683051,0.9197532536124919,0.38542657676158676,0.1206812201693467,normal,0.0919753253612492
