"gene_name","module"
"777","P62482","black"
"778","Q8CDG3","turquoise"
"779","F8WIR1","green"
"780","J3QN06","pink"
"781","Q9D3D9","cyan"
"782","Q8BTZ7","turquoise"
"783","P17809","brown"
"784","P27773","magenta"
"785","Q3UHY7","blue"
"786","Q9Z2U1","cyan"
"787","P80318","purple"
"788","Q9DB77","yellow"
"789","P99024","blue"
"790","E9Q1K3","cyan"
"791","Q8K1M3","green"
"792","Q9QYS9","yellow"
"793","Q9QYB8","purple"
"794","P35762","black"
"795","Q8VCD6","red"
"796","G3UW57","purple"
"797","P25444","magenta"
"798","P30275","green"
"799","P19246","midnightblue"
"800","P62874","turquoise"
"801","Q9JII5","lightcyan"
"802","A0A0A0MQB7","magenta"
"803","G3UVV4","tan"
"804","Q9D287","blue"
"805","Q8BL66","greenyellow"
"806","Q6ZPE2","pink"
"807","Q61171","blue"
"808","P16330","midnightblue"
"809","Q9R062","grey60"
"810","P63276","tan"
"811","G5E8R0","blue"
"812","Q9D2G2","brown"
"813","B0V2N1","cyan"
"814","A0A2R8VI25","red"
"815","Q62348","blue"
"816","Q8BV13","salmon"
"817","P60335","green"
"818","Q3UHJ0","green"
"819","Q8BW96","greenyellow"
"820","P68368","black"
"821","Q921L6","cyan"
"822","Q4FE56","pink"
"823","A0A0A6YY29","brown"
"824","Q9D051","blue"
"825","Q61361","greenyellow"
"826","Q3TXS7","black"
"827","Q99L13","green"
"828","A0A0G2JGJ1","black"
"829","Q3UM45","blue"
"830","Q9D1L0","yellow"
"831","E9Q175","black"
"832","Q9Z268","magenta"
"833","P46638","red"
"834","Q29SA9","turquoise"
"835","A0A140T8U1","blue"
"836","Q8CBG6","purple"
"837","P10630","brown"
"838","Q99PT1","blue"
"839","Q9D9V3","magenta"
"840","E9PVA8","greenyellow"
"841","B1AVY7","turquoise"
"842","O35449","black"
"843","P08551","midnightblue"
"844","B2RXS8","blue"
"845","P99029","turquoise"
"846","P17563","blue"
"847","P48678","black"
"848","E9Q401","black"
"849","Q8BH66","brown"
"850","A2ABY3","green"
"851","O88844","lightgreen"
"852","F8VPN4","pink"
"853","A0A0R4J0I9","yellow"
"854","O54991","green"
"855","H3BK66","blue"
"856","P48036","brown"
"857","Q9CZT8","lightcyan"
"858","A0A0N4SWH2","magenta"
"859","Q8C3F2","cyan"
"860","O88741","purple"
"861","O55106","magenta"
"862","Q80TL0","blue"
"863","P63044","turquoise"
"864","Q99KI0","purple"
"865","P09103","cyan"
"866","Q5SXE4","pink"
"867","Q9Z2I9","blue"
"868","Q8BFZ9","brown"
"869","Q91VE0","yellow"
"870","Q62419","salmon"
"871","P70699","black"
"872","Q3UHB8","black"
"873","P53996","blue"
"874","Q62420","blue"
"875","Q9QXS1","yellow"
"876","Q9D394","greenyellow"
"877","Q9QX11","black"
