FQ,lab1,lab2,non1,non2
P84078,68285,75815.63562,61417.41351,65693.36185
F6ZL69,11679,10513.9319,9912.083057,10214.61742
A2RTH5,33535,33339.38258,30448.09907,29828.66646
A2ADI4,7510.9,7747.38438,5898.203468,7460.211599
Q99MN9,52126,53000.53878,43183.99671,49832.47349
Q8C5P5,5533,5633.925574,4774.984338,5166.729404
Q8R1N4,20613,24798.25648,18940.96666,20695.45347
Q9CPP6,18332,19790.18104,16482.13314,17340.75074
Q5FWK3,9735.9,11996.60258,9054.292857,9869.229198
P61971,6492.9,6676.318883,6024.207284,5826.09901
P13020,26544,27015.57232,25370.15829,23164.50076
B2KGR2,22628,21042.1999,20827.76632,19139.90148
P16297,6551.7,7095.410692,5638.2473,6386.028128
Q9D1T0,51020,47606.98172,45796.58877,44057.44322
P34914,23086,23977.91333,21270.79938,20987.77197
A2ACG7,17440,20266.45794,15632.55208,17399.91043
Q8R0Y6,131840,145315.4255,119844.3538,125853.5522
G3UX45,9766.5,11002.7927,9823.997659,8830.454545
Q8CJ61,14514,16954.82027,13169.80944,14428.00573
Q8R4N0,64113,59853.19162,56633.95942,56053.81146
P62830,19784,19497.08757,18234.71983,17389.47049
P08249,559060,488908.5856,482945.1345,477079.4442
F7BJK1,130460,120800.7051,118249.4348,111594.3256
Q91VN4,152420,159767.8009,143373.3188,137737.691
Q8R1Q8,37011,37234.0214,33957.18157,33115.50954
P40240,28353,56524.03206,18047.0823,46935.3884
P10711,14966,14911.9269,13466.90221,13504.94048
A2ALU4,13516,12979.10288,12165.29712,11911.97868
E9QMK3,99010,97160.48639,87983.76108,89278.94044
Q9DB05,88964,101674.763,78560.18714,88922.24227
E9QN08,32209,32057.09864,29466.91113,28766.40193
A0A1W2P6P1,55824,50646.2336,49795.61372,47857.58365
Q6P069,36357,39255.41063,32250.20122,34933.80018
Q9Z1N5,19925,22187.49451,19264.1202,18476.09489
Q6P8X1,88239,83751.45999,76146.95996,79523.68065
Q8BMS4,8822.8,8909.245138,7514.49234,8329.772123
Q99K48,28368,31179.41112,25250.27876,27533.61827
Q8BP92,42993,43919.41981,36512.43994,40976.78907
A0A494BBE3,64821,62392.27312,53235.63519,60788.32709
Q9D1G1,38504,36101.46999,34259.48648,33807.15598
P60867,5911.8,4724.698647,4720.647636,5076.684868
P59242,36794,21596.52886,32469.11168,24997.58133
Q3TY60,26976,28321.74975,23534.17714,25786.66726
A0A2I3BRQ3,8515.1,7174.577788,7708.123851,6925.860349
Q5DQR4,27192,29863.67629,25396.21906,25644.85799
