uniprot,gene
Q8BW75,AOFB
Q8BWF0,SSDH
Q8BWT1,THIM
A0A0G2JG95,A0A0G2JG95
Q8BXR1,S7A14
Q8BXR9-2,OSBL6
Q8BXZ1,TMX3
Q8BYI9,TENR
Q8BYM5,NLGN3
Q8BZ98-2,DYN3
Q8C008,DZAN1
Q8C0C7,SYFA
Q8C0E2,VP26B
Q8C0M9,ASGL1
Q8C0P5,COR2A
Q8C0T5,SI1L1
Q8C163,EXOG
Q8C167-3,PPCEL
Q8C1B1,CAMP2
A0A0J9YTY0,A0A0J9YTY0
Q8C3Q5,SHSA7
Q8C3W1,CA198
Q8C3X2-2,CC90B
Q8C419,GP158
Q8C522,ENDD1
Q8C5W0-2,CLMN
Q8C754,VPS52
Q8C7X2-2,EMC1
Q8C8R3-7,ANK2
Q8C996,TM163
Q8CAA7,PGM2L
Q8CAQ8-2,MIC60
A0A3B2WAL8,A0A3B2WAL8
H3BK66,H3BK66
Q8CBW3-2,ABI1
Q8CC27-2,CACB2
Q8CC35-3,SYNPO
A0A0R4J030,A0A0R4J030
Q0VF62,Q0VF62
G3UX74,G3UX74
Q8CDG3,VCIP1
Q8CGC7,SYEP
Q8CGK3,LONM
B1ASC0,B1ASC0
Q8CGY8,OGT1
E9Q7S0,E9Q7S0
E9QNQ4,E9QNQ4
Q8CHP8,PGP
Q5NCM6,Q5NCM6
Q8CHX7,RFTN2
Q8CI32,BAG5
Q8CI94,PYGB
Q8CIN4,PAK2
A0A0N4SVV2,A0A0N4SVV2
Q8CJ61,CKLF4
Q8CJH3,PLXB1
Q8JZN5,ACAD9
Q8JZQ2,AFG32
Q8JZR6-2,S4A8
Q8JZS0,LIN7A
Q8JZU2,TXTP
Q8K021,SCAM1
Q8K0E8,FIBB
Q8K0S0,PHYIP
Q8K0T0,RTN1
Q8K0U4,HS12A
Q8K183,PDXK
Q8K1M6,DNM1L
Q8K1Z0,COQ9
Q8K212,PACS1
Q8K274,KT3K
Q8K2B3,SDHA
Q8K2C9,HACD3
Q8K2M0,RM38
Q8K310,MATR3
Q8K3H0,DP13A
Q8K3J1,NDUS8
D3Z2Q2,D3Z2Q2
E9Q9Q7,E9Q9Q7
Q8K596-2,NAC2
Q8QZT1,THIL
Q8QZT2,CCSAP
D3YYK8,D3YYK8
Q8R035-2,ICT1
Q8R071,IP3KA
G5E924,G5E924
A2AEC2,A2AEC2
Q3TA40,Q3TA40
Q8R0S2,IQEC1
Q8R0S4-2,CACB4
D3YZT4,D3YZT4
Q8R0Y6,AL1L1
Q8R127,SCPDL
Q8R191,SNG3
Q8R1I1,QCR9
Q8R1Q8,DC1L1
Q5SVW9,Q5SVW9
Q8R2R9,AP3M2
Q8R361,RFIP5
Q8R366,IGSF8
Q5PPR2,Q5PPR2
Q8R3V5-1,SHLB2
A2A543,A2A543
Q8R404,MIC13
Q8R464,CADM4
Q8R4N0,CLYBL
Q8R550-3,SH3K1
Q8R555,CRAC1
Q8R570,SNP47
Q8R5C5,ACTY
Q8R5H6,WASF1
Q8R5J9,PRAF3
Q8R5M8-4,CADM1
Q8VBV7,CSN8
Q8VBZ3,CLPT1
Q8VCD6,REEP2
Q8VCF0,MAVS
A0A0R4J078,A0A0R4J078
Q8VCM5-3,MUL1
D3YU17,D3YU17
E9PYF1,E9PYF1
Q8VCX5,MICU1
A0A087WQF0,A0A087WQF0
A0A1B0GT63,A0A1B0GT63
Q8VD37,SGIP1
Q8VDD5,MYH9
A0A087WP83,A0A087WP83
Q8VDM4,PSMD2
Q8VDN2,AT1A1
Q8VDP4,CCAR2
A0A0U1RP13,A0A0U1RP13
A0A140LHL5,A0A140LHL5
Q8VDZ4,ZDHC5
Q8VE33,GD1L1
Q8VE47,UBA5
Q8VEA4,MIA40
Q8VEK0,CC50A
Q8VEK3-2,HNRPU
Q8VEM8,MPCP
Q8VHH5-2,AGAP3
Q8VHI6,WASF3
Q8VHK5,MLC1
F7CZ64,F7CZ64
Q8VHY0-3,CSPG4
Q8VIJ6,SFPQ
Q91V12-2,BACH
Q91V14-2,S12A5
Q91V41,RAB14
Q91V61,SFXN3
Q3V117,Q3V117
Q91VD9,NDUS1
A0A087WRM2,A0A087WRM2
E9Q4M4,E9Q4M4
Q91VR5,DDX1
Q91VW3,SH3L3
Q91W53,GOGA7
Q5ICG5,Q5ICG5
Q91WD5,NDUS2
Q91WG5,AAKG2
Q91WG7,DGKG
A2A7S7,A2A7S7
Q91WS0,CISD1
Q91XM9,DLG2
Q91XV3,BASP1
Q91YD9,WASL
Q91YQ5,RPN1
Q91YR1,TWF1
D3YUM1,D3YUM1
A0A0G2JGW0,A0A0G2JGW0
Q91Z53,GRHPR
Q91ZA3,PCCA
Q91ZJ5,UGPA
Q91ZP9,NECA2
A0A087WRB8,A0A087WRB8
Q91ZX7,LRP1
Q91ZZ3,SYUB
Q920I9,WDR7
