uniprot,gene
A0A0U1RRJ0,A0A0U1RRJ0
Q9Y4D1,DAAM1
Q9Y4E6,WDR7
Q9Y4G6,TLN2
Q9Y4G8,RPGF2
A0A087WY00,A0A087WY00
Q9Y4W6,AFG32
Q9Y512,SAM50
Q9Y566,SHAN1
Q9Y584,TIM22
Q9Y5J7,TIM9
E9PIR3,E9PIR3
G3V2S6,G3V2S6
Q9Y5L4,TIM13
Q9Y639,NPTN
E9PIE4,E9PIE4
Q9Y6K8,KAD5
A0A0C4DGH3,A0A0C4DGH3
Q9Y6R1,S4A4
Q9Y6V0,PCLO
A0A087WWU8,A0A087WWU8
A0A087X1Z0,A0A087X1Z0
A0A087WXX8,A0A087WXX8
A0A087X201,A0A087X201
A0A096LNH5,A0A096LNH5
G8JL96,G8JL96
A0A0D9SFB1,A0A0D9SFB1
A0A1C7CYX9,A0A1C7CYX9
H0Y382,H0Y382
A0A494BZZ2,A0A494BZZ2
E9PN83,E9PN83
B7Z613,B7Z613
E9PAL7,E9PAL7
D6R9U4,D6R9U4
D6RAX3,D6RAX3
E7ERI8,E7ERI8
E7ESL9,E7ESL9
E9PBG7,E9PBG7
E9PEZ7,E9PEZ7
E9PFN4,E9PFN4
F5GZR9,F5GZR9
H0Y2W2,H0Y2W2
H0YFP0,H0YFP0
H0YI72,H0YI72
H3BTN5,H3BTN5
H9KV75,H9KV75
M0R2S2,M0R2S2
