uniprot,gene
Q8WXI2,CNKR2
A0A1X7SBR8,A0A1X7SBR8
Q8WY54,PPM1E
Q8WZA2,RPGF4
Q92499,DDX1
Q92558,WASF1
Q92561,PHYIP
Q92598,HS105
A0A087X142,A0A087X142
H7BY35,H7BY35
Q92747,ARC1A
Q92752,TENR
Q92777,SYN2
Q92783,STAM1
Q92796,DLG3
C9JYY6,C9JYY6
H3BM42,H3BM42
Q92905,CSN5
A0A087WTP3,A0A087WTP3
Q93008,USP9X
Q93050,VPP1
Q969P0,IGSF8
Q969V3,NCLN
Q96A23,CPNE4
Q96AG4,LRC59
Q96BQ5,CC127
Q96C19,EFHD2
Q96CS3,FAF2
Q96CW1,AP2M1
Q96DA2,RB39B
Q96E17,RAB3C
E7EVJ5,E7EVJ5
Q96F85,CNRP1
Q96FE5,LIGO1
Q96FJ2,DYL2
Q96FW1,OTUB1
Q96FZ7,CHMP6
F5H4U6,F5H4U6
Q96GW7,PGCB
Q96HN2,SAHH3
Q96HU8,DIRA2
Q96JE9,MAP6
H0YCM7,H0YCM7
H3BPB3,H3BPB3
Q96K17,BT3L4
Q96KP4,CNDP2
H0UIB3,H0UIB3
A0A075B6E9,A0A075B6E9
Q96P47,AGAP3
Q96PE3,INP4A
A0A2R8Y6T2,A0A2R8Y6T2
Q96QK1,VPS35
Q96QR8,PURB
Q96SB3,NEB2
Q99250,SCN2A
J3KNM6,J3KNM6
Q99497,PARK7
K7ESA3,K7ESA3
Q99569,PKP4
Q99622,C10
J3KPX7,J3KPX7
Q99714,HCD2
Q99747,SNAG
Q99784,NOE1
Q99798,ACON
Q99832,TCPH
Q99961,SH3G1
Q99962,SH3G2
Q9BPU6,DPYL5
Q9BPW8,NIPS1
Q9BPX5,ARP5L
Q9BQI5,SGIP1
Q9BV35,SCMC3
Q9BVA1,TBB2B
A0A0A0MS41,A0A0A0MS41
Q9BX67,JAM3
Q9BXP5,SRRT
F6U236,F6U236
Q9BY32,ITPA
A0A087X1W8,A0A087X1W8
A0A0J9YX34,A0A0J9YX34
Q9C0H9,SRCN1
A6NIZ0,A6NIZ0
K7EPN1,K7EPN1
Q9GZY8,MFF
E9PLD2,E9PLD2
Q9H0R4,HDHD2
Q9H0U4,RAB1B
Q9H115,SNAB
Q9H1E5,TMX4
F5H5N2,F5H5N2
Q9H223,EHD4
Q9H254,SPTN4
Q5T123,Q5T123
Q9H2X9,S12A5
Q9H3Z4,DNJC5
Q9H444,CHM4B
Q9H492,MLP3A
A0A0C4DH22,A0A0C4DH22
Q9H4M9,EHD1
Q9H598,VIAAT
Q9H845,ACAD9
Q9H936,GHC1
Q9H9B4,SFXN1
Q9HAP6,LIN7B
H0Y9K5,H0Y9K5
Q9HAV0,GBB4
Q9HBH5,RDH14
J3KRP9,J3KRP9
Q9HCM2,PLXA4
Q9NP72,RAB18
Q9NP97,DLRB1
Q9NQ66,PLCB1
Q9NQX3,GEPH
Q9NR31,SAR1A
B7ZC39,B7ZC39
Q9NRR3,C42S2
Q9NRW1,RAB6B
A0A087WU65,A0A087WU65
Q9NS69,TOM22
Q9NS86,LANC2
Q9NSD9,SYFB
Q9NSE4,SYIM
E9PGZ4,E9PGZ4
J3KQ32,J3KQ32
Q9NUP9,LIN7C
Q9NUQ9,FA49B
Q9NUT2,ABCB8
Q9NV70,EXOC1
D6RGI3,D6RGI3
Q9NVH1,DJC11
Q9NVI7,ATD3A
Q9NVJ2,ARL8B
Q9NVT9,ARMC1
Q9NX63,MIC19
B4DKF8,B4DKF8
Q9NZ94,NLGN3
Q9NZH0,GPC5B
Q9NZJ7,MTCH1
Q9NZN3,EHD3
Q9NZQ3,SPN90
Q9NZR1,TMOD2
C9J4Q3,C9J4Q3
Q9P0J1,PDP1
Q9P0K1,ADA22
Q9P0K9,FRS1L
Q9P0L0,VAPA
Q9P121,NTRI
A0A1B0GXK6,A0A1B0GXK6
Q9P1U1,ARP3B
Q9P260,RELCH
A0A087WUT0,A0A087WUT0
A0A2R8YDQ9,A0A2R8YDQ9
Q9P2U7,VGLU1
Q9P2U8,VGLU2
Q9UBB6,NCDN
Q9UBL6,CPNE7
A0A140T9S4,A0A140T9S4
Q9UBV8,PEF1
Q9UDT6,CLIP2
Q9UEW8,STK39
Q9UEY8,ADDG
Q9UGV2,NDRG3
A0A2R8Y4H2,A0A2R8Y4H2
Q9UHC6,CNTP2
K7EK18,K7EK18
Q9UHG2,PCSK1
H7C0R7,H7C0R7
Q9UHV9,PFD2
Q9UI08,EVL
Q9UI09,NDUAC
G3V126,G3V126
Q9UI15,TAGL3
Q9UIJ7,KAD3
Q9UIW2,PLXA1
Q9UJ14,GGT7
Q9UJU6,DBNL
Q9UJZ1,STML2
A0A494C0B6,A0A494C0B6
Q9UKU7,ACAD8
E7ERL8,E7ERL8
Q9ULD0,OGDHL
Q9ULU8,CAPS1
Q9ULV4,COR1C
Q9UM19,HPCL4
Q9UMF0,ICAM5
Q9UN37,VPS4A
Q9UN86,G3BP2
Q9UNS2,CSN3
Q9UNZ2,NSF1C
Q9UPA5,BSN
Q9UPN3,MACF1
Q9UPP2,IQEC3
F5H6L7,F5H6L7
Q9UPV7,PHF24
F8VZH8,F8VZH8
E7EUA2,E7EUA2
Q9UPY8,MARE3
Q9UQ03,COR2B
Q9UQ16,DYN3
Q9UQ80,PA2G4
E7EPC8,E7EPC8
Q9UQB8,BAIP2
Q9UQM7,KCC2A
Q9Y224,RTRAF
Q9Y277,VDAC3
Q9Y2A7,NCKP1
H7BXG9,H7BXG9
Q9Y2H0,DLGP4
Q9Y2H5,PKHA6
Q9Y2I8,WDR37
Q9Y2J0,RP3A
Q9Y2J2,E41L3
Q9Y2Q0,AT8A1
Q5SZR4,Q5SZR4
Q9Y305,ACOT9
Q9Y320,TMX2
A0A0A6YYA0,A0A0A6YYA0
Q9Y3D6,FIS1
Q9Y3F4,STRAP
Q9Y3I0,RTCB
Q9Y3L5,RAP2C
A0A0U1RRJ0,A0A0U1RRJ0
Q9Y4E6,WDR7
M0QYB0,M0QYB0
Q9Y4G6,TLN2
A0A087WY00,A0A087WY00
A0A087X054,A0A087X054
Q9Y4W6,AFG32
Q9Y512,SAM50
Q9Y566,SHAN1
Q9Y570,PPME1
Q9Y584,TIM22
Q9Y5J7,TIM9
G3XAN8,G3XAN8
Q9Y5K8,VATD
Q9Y5L4,TIM13
Q9Y639,NPTN
Q9Y696,CLIC4
E9PIE4,E9PIE4
Q9Y6G9,DC1L1
Q9Y6I3,EPN1
Q9Y6K8,KAD5
C9JRP1,C9JRP1
A0A0C4DGH3,A0A0C4DGH3
Q9Y6R1,S4A4
B5MCD5,B5MCD5
Q9Y6V0,PCLO
A0A0A0MRM8,A0A0A0MRM8
A0A0C4DGN6,A0A0C4DGN6
A0A0D9SFB1,A0A0D9SFB1
A0A0D9SGF6,A0A0D9SGF6
A0A0U1RQI6,A0A0U1RQI6
A0A0U1RR22,A0A0U1RR22
A0A1C7CYX9,A0A1C7CYX9
A0A2Q3DQE3,A0A2Q3DQE3
H0YKJ4,H0YKJ4
